,reward,transition,stay_prob,subject
38,punished,common,0.77,subject1
39,punished,common,0.16,subject2
40,punished,common,0.0,subject3
41,punished,common,0.0,subject4
42,punished,common,0.0,subject5
43,punished,common,0.02,subject6
44,punished,common,0.82,subject7
45,punished,common,0.05,subject8
46,punished,common,0.0,subject9
47,punished,common,0.14,subject10
48,punished,common,0.51,subject11
49,punished,common,0.31,subject12
50,punished,common,0.11,subject13
51,punished,common,0.33,subject14
52,punished,common,0.08,subject15
53,punished,common,0.0,subject16
54,punished,common,0.32,subject17
55,punished,common,0.13,subject18
56,punished,common,0.05,subject19
57,punished,common,0.06,subject20
58,punished,common,0.15,subject21
59,punished,common,0.36,subject22
60,punished,common,0.14,subject23
61,punished,common,0.65,subject24
62,punished,common,0.0,subject25
63,punished,common,0.03,subject26
64,punished,common,0.0,subject27
65,punished,common,0.0,subject28
66,punished,common,0.03,subject29
67,punished,common,0.03,subject30
68,punished,common,0.0,subject31
69,punished,common,0.13,subject32
70,punished,common,0.07,subject33
71,punished,common,0.0,subject34
72,punished,common,0.0,subject35
73,punished,common,0.03,subject36
74,punished,common,0.0,subject37
75,punished,common,0.11,subject38
38,punished,rare,1.0,subject1
39,punished,rare,0.95,subject2
40,punished,rare,0.35,subject3
41,punished,rare,1.0,subject4
42,punished,rare,1.0,subject5
43,punished,rare,0.85,subject6
44,punished,rare,0.67,subject7
45,punished,rare,0.38,subject8
46,punished,rare,0.82,subject9
47,punished,rare,0.82,subject10
48,punished,rare,0.74,subject11
49,punished,rare,1.0,subject12
50,punished,rare,0.94,subject13
51,punished,rare,0.76,subject14
52,punished,rare,0.87,subject15
53,punished,rare,0.81,subject16
54,punished,rare,0.85,subject17
55,punished,rare,0.29,subject18
56,punished,rare,0.0,subject19
57,punished,rare,1.0,subject20
58,punished,rare,0.8,subject21
59,punished,rare,0.92,subject22
60,punished,rare,0.1,subject23
61,punished,rare,0.77,subject24
62,punished,rare,0.94,subject25
63,punished,rare,0.92,subject26
64,punished,rare,0.8,subject27
65,punished,rare,0.94,subject28
66,punished,rare,0.82,subject29
67,punished,rare,0.92,subject30
68,punished,rare,0.94,subject31
69,punished,rare,0.92,subject32
70,punished,rare,1.0,subject33
71,punished,rare,0.94,subject34
72,punished,rare,1.0,subject35
73,punished,rare,0.92,subject36
74,punished,rare,0.83,subject37
75,punished,rare,0.83,subject38
38,unpunished,common,0.98,subject1
39,unpunished,common,1.0,subject2
40,unpunished,common,1.0,subject3
41,unpunished,common,0.93,subject4
42,unpunished,common,0.96,subject5
43,unpunished,common,1.0,subject6
44,unpunished,common,0.7,subject7
45,unpunished,common,0.97,subject8
46,unpunished,common,0.98,subject9
47,unpunished,common,0.94,subject10
48,unpunished,common,1.0,subject11
49,unpunished,common,1.0,subject12
50,unpunished,common,1.0,subject13
51,unpunished,common,0.89,subject14
52,unpunished,common,1.0,subject15
53,unpunished,common,0.7,subject16
54,unpunished,common,1.0,subject17
55,unpunished,common,0.9,subject18
56,unpunished,common,0.97,subject19
57,unpunished,common,1.0,subject20
58,unpunished,common,1.0,subject21
59,unpunished,common,1.0,subject22
60,unpunished,common,0.72,subject23
61,unpunished,common,1.0,subject24
62,unpunished,common,0.98,subject25
63,unpunished,common,1.0,subject26
64,unpunished,common,1.0,subject27
65,unpunished,common,1.0,subject28
66,unpunished,common,0.98,subject29
67,unpunished,common,1.0,subject30
68,unpunished,common,1.0,subject31
69,unpunished,common,0.93,subject32
70,unpunished,common,0.98,subject33
71,unpunished,common,0.91,subject34
72,unpunished,common,1.0,subject35
73,unpunished,common,1.0,subject36
74,unpunished,common,0.94,subject37
75,unpunished,common,0.92,subject38
38,unpunished,rare,1.0,subject1
39,unpunished,rare,0.0,subject2
40,unpunished,rare,0.93,subject3
41,unpunished,rare,0.0,subject4
42,unpunished,rare,0.0,subject5
43,unpunished,rare,0.0,subject6
44,unpunished,rare,0.9,subject7
45,unpunished,rare,0.0,subject8
46,unpunished,rare,0.0,subject9
47,unpunished,rare,0.2,subject10
48,unpunished,rare,0.92,subject11
49,unpunished,rare,0.24,subject12
50,unpunished,rare,0.0,subject13
51,unpunished,rare,0.13,subject14
52,unpunished,rare,0.0,subject15
53,unpunished,rare,0.0,subject16
54,unpunished,rare,0.16,subject17
55,unpunished,rare,1.0,subject18
56,unpunished,rare,1.0,subject19
57,unpunished,rare,0.0,subject20
58,unpunished,rare,0.0,subject21
59,unpunished,rare,0.88,subject22
60,unpunished,rare,0.82,subject23
61,unpunished,rare,0.83,subject24
62,unpunished,rare,0.0,subject25
63,unpunished,rare,0.0,subject26
64,unpunished,rare,0.13,subject27
65,unpunished,rare,0.11,subject28
66,unpunished,rare,0.08,subject29
67,unpunished,rare,0.0,subject30
68,unpunished,rare,0.0,subject31
69,unpunished,rare,0.15,subject32
70,unpunished,rare,0.0,subject33
71,unpunished,rare,0.15,subject34
72,unpunished,rare,0.13,subject35
73,unpunished,rare,0.0,subject36
74,unpunished,rare,0.07,subject37
75,unpunished,rare,0.07,subject38
