,reward,transition,stay_prob,subject
38,reward,common,0.98,subject1
39,reward,common,0.98,subject2
40,reward,common,0.98,subject3
41,reward,common,1.0,subject4
42,reward,common,0.94,subject5
43,reward,common,0.97,subject6
44,reward,common,0.93,subject7
45,reward,common,0.97,subject8
46,reward,common,1.0,subject9
47,reward,common,0.97,subject10
48,reward,common,1.0,subject11
49,reward,common,1.0,subject12
50,reward,common,0.98,subject13
51,reward,common,0.67,subject14
52,reward,common,0.96,subject15
53,reward,common,0.64,subject16
54,reward,common,1.0,subject17
55,reward,common,0.83,subject18
56,reward,common,0.97,subject19
57,reward,common,1.0,subject20
58,reward,common,1.0,subject21
59,reward,common,1.0,subject22
60,reward,common,0.87,subject23
61,reward,common,0.93,subject24
62,reward,common,1.0,subject25
63,reward,common,1.0,subject26
64,reward,common,0.95,subject27
65,reward,common,1.0,subject28
66,reward,common,0.98,subject29
67,reward,common,1.0,subject30
68,reward,common,1.0,subject31
69,reward,common,0.94,subject32
70,reward,common,0.98,subject33
71,reward,common,0.98,subject34
72,reward,common,1.0,subject35
73,reward,common,1.0,subject36
74,reward,common,1.0,subject37
75,reward,common,1.0,subject38
38,reward,rare,1.0,subject1
39,reward,rare,0.0,subject2
40,reward,rare,1.0,subject3
41,reward,rare,0.15,subject4
42,reward,rare,0.0,subject5
43,reward,rare,0.0,subject6
44,reward,rare,1.0,subject7
45,reward,rare,0.05,subject8
46,reward,rare,0.0,subject9
47,reward,rare,0.28,subject10
48,reward,rare,1.0,subject11
49,reward,rare,0.16,subject12
50,reward,rare,0.08,subject13
51,reward,rare,0.38,subject14
52,reward,rare,0.07,subject15
53,reward,rare,0.0,subject16
54,reward,rare,0.13,subject17
55,reward,rare,0.93,subject18
56,reward,rare,1.0,subject19
57,reward,rare,0.0,subject20
58,reward,rare,0.29,subject21
59,reward,rare,0.25,subject22
60,reward,rare,0.78,subject23
61,reward,rare,0.71,subject24
62,reward,rare,0.0,subject25
63,reward,rare,0.27,subject26
64,reward,rare,0.0,subject27
65,reward,rare,0.09,subject28
66,reward,rare,0.0,subject29
67,reward,rare,0.0,subject30
68,reward,rare,0.0,subject31
69,reward,rare,0.0,subject32
70,reward,rare,0.0,subject33
71,reward,rare,0.0,subject34
72,reward,rare,0.0,subject35
73,reward,rare,0.0,subject36
74,reward,rare,0.13,subject37
75,reward,rare,0.0,subject38
38,unrewarded,common,0.91,subject1
39,unrewarded,common,0.04,subject2
40,unrewarded,common,0.0,subject3
41,unrewarded,common,0.0,subject4
42,unrewarded,common,0.0,subject5
43,unrewarded,common,0.03,subject6
44,unrewarded,common,0.92,subject7
45,unrewarded,common,0.04,subject8
46,unrewarded,common,0.04,subject9
47,unrewarded,common,0.03,subject10
48,unrewarded,common,0.3,subject11
49,unrewarded,common,0.35,subject12
50,unrewarded,common,0.05,subject13
51,unrewarded,common,0.19,subject14
52,unrewarded,common,0.13,subject15
53,unrewarded,common,0.0,subject16
54,unrewarded,common,0.13,subject17
55,unrewarded,common,0.16,subject18
56,unrewarded,common,0.0,subject19
57,unrewarded,common,0.0,subject20
58,unrewarded,common,0.07,subject21
59,unrewarded,common,0.17,subject22
60,unrewarded,common,0.06,subject23
61,unrewarded,common,0.43,subject24
62,unrewarded,common,0.04,subject25
63,unrewarded,common,0.03,subject26
64,unrewarded,common,0.04,subject27
65,unrewarded,common,0.0,subject28
66,unrewarded,common,0.06,subject29
67,unrewarded,common,0.0,subject30
68,unrewarded,common,0.03,subject31
69,unrewarded,common,0.14,subject32
70,unrewarded,common,0.0,subject33
71,unrewarded,common,0.03,subject34
72,unrewarded,common,0.04,subject35
73,unrewarded,common,0.0,subject36
74,unrewarded,common,0.0,subject37
75,unrewarded,common,0.06,subject38
38,unrewarded,rare,0.96,subject1
39,unrewarded,rare,0.83,subject2
40,unrewarded,rare,0.0,subject3
41,unrewarded,rare,1.0,subject4
42,unrewarded,rare,0.81,subject5
43,unrewarded,rare,0.93,subject6
44,unrewarded,rare,1.0,subject7
45,unrewarded,rare,1.0,subject8
46,unrewarded,rare,1.0,subject9
47,unrewarded,rare,0.68,subject10
48,unrewarded,rare,0.5,subject11
49,unrewarded,rare,0.94,subject12
50,unrewarded,rare,1.0,subject13
51,unrewarded,rare,0.79,subject14
52,unrewarded,rare,0.89,subject15
53,unrewarded,rare,0.81,subject16
54,unrewarded,rare,0.94,subject17
55,unrewarded,rare,0.0,subject18
56,unrewarded,rare,0.18,subject19
57,unrewarded,rare,0.95,subject20
58,unrewarded,rare,0.75,subject21
59,unrewarded,rare,0.86,subject22
60,unrewarded,rare,0.0,subject23
61,unrewarded,rare,0.47,subject24
62,unrewarded,rare,1.0,subject25
63,unrewarded,rare,0.91,subject26
64,unrewarded,rare,0.83,subject27
65,unrewarded,rare,1.0,subject28
66,unrewarded,rare,0.93,subject29
67,unrewarded,rare,1.0,subject30
68,unrewarded,rare,0.95,subject31
69,unrewarded,rare,0.71,subject32
70,unrewarded,rare,0.92,subject33
71,unrewarded,rare,0.83,subject34
72,unrewarded,rare,0.93,subject35
73,unrewarded,rare,0.91,subject36
74,unrewarded,rare,0.94,subject37
75,unrewarded,rare,1.0,subject38
