,reward,transition,stay_prob,subject
0,punished,common,0.93,subject1
1,punished,common,0.98,subject2
2,punished,common,0.14,subject3
3,punished,common,0.03,subject4
4,punished,common,0.36,subject5
5,punished,common,0.03,subject6
6,punished,common,0.0,subject7
7,punished,common,0.36,subject8
8,punished,common,0.3,subject9
9,punished,common,0.0,subject10
10,punished,common,0.0,subject11
11,punished,common,0.29,subject12
12,punished,common,0.36,subject13
13,punished,common,0.36,subject14
14,punished,common,0.03,subject15
15,punished,common,0.35,subject16
16,punished,common,0.34,subject17
17,punished,common,0.9,subject18
18,punished,common,0.05,subject19
19,punished,common,0.53,subject20
20,punished,common,0.94,subject21
21,punished,common,0.06,subject22
22,punished,common,0.06,subject23
23,punished,common,0.0,subject24
24,punished,common,0.27,subject25
25,punished,common,0.38,subject26
26,punished,common,0.07,subject27
27,punished,common,0.06,subject28
28,punished,common,0.43,subject29
29,punished,common,0.3,subject30
30,punished,common,0.0,subject31
31,punished,common,0.0,subject32
32,punished,common,0.0,subject33
33,punished,common,0.02,subject34
34,punished,common,0.0,subject35
35,punished,common,0.13,subject36
36,punished,common,0.56,subject37
37,punished,common,0.03,subject38
0,punished,rare,1.0,subject1
1,punished,rare,0.0,subject2
2,punished,rare,0.87,subject3
3,punished,rare,0.15,subject4
4,punished,rare,0.92,subject5
5,punished,rare,1.0,subject6
6,punished,rare,1.0,subject7
7,punished,rare,0.83,subject8
8,punished,rare,0.42,subject9
9,punished,rare,0.93,subject10
10,punished,rare,0.93,subject11
11,punished,rare,0.94,subject12
12,punished,rare,0.33,subject13
13,punished,rare,0.92,subject14
14,punished,rare,0.8,subject15
15,punished,rare,0.36,subject16
16,punished,rare,0.8,subject17
17,punished,rare,0.73,subject18
18,punished,rare,0.67,subject19
19,punished,rare,1.0,subject20
20,punished,rare,0.05,subject21
21,punished,rare,0.0,subject22
22,punished,rare,0.08,subject23
23,punished,rare,1.0,subject24
24,punished,rare,0.67,subject25
25,punished,rare,0.67,subject26
26,punished,rare,0.1,subject27
27,punished,rare,0.43,subject28
28,punished,rare,0.6,subject29
29,punished,rare,0.58,subject30
30,punished,rare,1.0,subject31
31,punished,rare,1.0,subject32
32,punished,rare,1.0,subject33
33,punished,rare,1.0,subject34
34,punished,rare,1.0,subject35
35,punished,rare,0.9,subject36
36,punished,rare,0.93,subject37
37,punished,rare,0.56,subject38
0,unpunished,common,1.0,subject1
1,unpunished,common,1.0,subject2
2,unpunished,common,0.96,subject3
3,unpunished,common,0.95,subject4
4,unpunished,common,1.0,subject5
5,unpunished,common,0.97,subject6
6,unpunished,common,1.0,subject7
7,unpunished,common,0.56,subject8
8,unpunished,common,0.83,subject9
9,unpunished,common,1.0,subject10
10,unpunished,common,0.98,subject11
11,unpunished,common,0.98,subject12
12,unpunished,common,0.95,subject13
13,unpunished,common,0.98,subject14
14,unpunished,common,0.98,subject15
15,unpunished,common,0.2,subject16
16,unpunished,common,0.91,subject17
17,unpunished,common,0.64,subject18
18,unpunished,common,0.65,subject19
19,unpunished,common,0.94,subject20
20,unpunished,common,0.2,subject21
21,unpunished,common,0.88,subject22
22,unpunished,common,0.49,subject23
23,unpunished,common,0.98,subject24
24,unpunished,common,0.93,subject25
25,unpunished,common,0.96,subject26
26,unpunished,common,1.0,subject27
27,unpunished,common,0.92,subject28
28,unpunished,common,0.73,subject29
29,unpunished,common,0.77,subject30
30,unpunished,common,1.0,subject31
31,unpunished,common,0.98,subject32
32,unpunished,common,0.97,subject33
33,unpunished,common,0.97,subject34
34,unpunished,common,0.65,subject35
35,unpunished,common,1.0,subject36
36,unpunished,common,0.96,subject37
37,unpunished,common,1.0,subject38
0,unpunished,rare,1.0,subject1
1,unpunished,rare,0.0,subject2
2,unpunished,rare,0.43,subject3
3,unpunished,rare,0.82,subject4
4,unpunished,rare,0.5,subject5
5,unpunished,rare,0.06,subject6
6,unpunished,rare,0.0,subject7
7,unpunished,rare,0.42,subject8
8,unpunished,rare,0.75,subject9
9,unpunished,rare,0.17,subject10
10,unpunished,rare,0.0,subject11
11,unpunished,rare,0.36,subject12
12,unpunished,rare,1.0,subject13
13,unpunished,rare,0.82,subject14
14,unpunished,rare,0.0,subject15
15,unpunished,rare,0.0,subject16
16,unpunished,rare,0.14,subject17
17,unpunished,rare,0.92,subject18
18,unpunished,rare,0.08,subject19
19,unpunished,rare,0.87,subject20
20,unpunished,rare,0.9,subject21
21,unpunished,rare,0.82,subject22
22,unpunished,rare,0.27,subject23
23,unpunished,rare,0.0,subject24
24,unpunished,rare,0.2,subject25
25,unpunished,rare,0.94,subject26
26,unpunished,rare,0.86,subject27
27,unpunished,rare,0.26,subject28
28,unpunished,rare,0.56,subject29
29,unpunished,rare,0.62,subject30
30,unpunished,rare,0.24,subject31
31,unpunished,rare,0.08,subject32
32,unpunished,rare,0.0,subject33
33,unpunished,rare,0.0,subject34
34,unpunished,rare,0.0,subject35
35,unpunished,rare,0.13,subject36
36,unpunished,rare,0.71,subject37
37,unpunished,rare,0.19,subject38
