,reward,transition,stay_prob,subject
0,reward,common,1.0,subject1
1,reward,common,1.0,subject2
2,reward,common,0.91,subject3
3,reward,common,1.0,subject4
4,reward,common,1.0,subject5
5,reward,common,0.98,subject6
6,reward,common,1.0,subject7
7,reward,common,0.86,subject8
8,reward,common,1.0,subject9
9,reward,common,1.0,subject10
10,reward,common,0.98,subject11
11,reward,common,0.92,subject12
12,reward,common,0.97,subject13
13,reward,common,1.0,subject14
14,reward,common,1.0,subject15
15,reward,common,0.27,subject16
16,reward,common,0.97,subject17
17,reward,common,1.0,subject18
18,reward,common,0.78,subject19
19,reward,common,0.77,subject20
20,reward,common,0.9,subject21
21,reward,common,0.91,subject22
22,reward,common,0.96,subject23
23,reward,common,0.98,subject24
24,reward,common,0.98,subject25
25,reward,common,0.96,subject26
26,reward,common,0.81,subject27
27,reward,common,0.97,subject28
28,reward,common,0.95,subject29
29,reward,common,0.89,subject30
30,reward,common,0.97,subject31
31,reward,common,1.0,subject32
32,reward,common,1.0,subject33
33,reward,common,1.0,subject34
34,reward,common,0.97,subject35
35,reward,common,1.0,subject36
36,reward,common,0.97,subject37
37,reward,common,0.98,subject38
0,reward,rare,1.0,subject1
1,reward,rare,0.67,subject2
2,reward,rare,0.26,subject3
3,reward,rare,1.0,subject4
4,reward,rare,0.0,subject5
5,reward,rare,0.17,subject6
6,reward,rare,0.11,subject7
7,reward,rare,0.67,subject8
8,reward,rare,0.75,subject9
9,reward,rare,0.14,subject10
10,reward,rare,0.0,subject11
11,reward,rare,0.48,subject12
12,reward,rare,1.0,subject13
13,reward,rare,0.5,subject14
14,reward,rare,0.0,subject15
15,reward,rare,0.08,subject16
16,reward,rare,0.15,subject17
17,reward,rare,0.67,subject18
18,reward,rare,0.13,subject19
19,reward,rare,0.81,subject20
20,reward,rare,0.18,subject21
21,reward,rare,1.0,subject22
22,reward,rare,0.71,subject23
23,reward,rare,0.0,subject24
24,reward,rare,0.14,subject25
25,reward,rare,1.0,subject26
26,reward,rare,0.71,subject27
27,reward,rare,0.53,subject28
28,reward,rare,1.0,subject29
29,reward,rare,0.88,subject30
30,reward,rare,0.12,subject31
31,reward,rare,0.0,subject32
32,reward,rare,0.0,subject33
33,reward,rare,0.0,subject34
34,reward,rare,0.07,subject35
35,reward,rare,0.0,subject36
36,reward,rare,0.67,subject37
37,reward,rare,0.18,subject38
0,unrewarded,common,0.86,subject1
1,unrewarded,common,0.01,subject2
2,unrewarded,common,0.06,subject3
3,unrewarded,common,0.04,subject4
4,unrewarded,common,0.14,subject5
5,unrewarded,common,0.0,subject6
6,unrewarded,common,0.0,subject7
7,unrewarded,common,0.45,subject8
8,unrewarded,common,0.68,subject9
9,unrewarded,common,0.0,subject10
10,unrewarded,common,0.0,subject11
11,unrewarded,common,0.09,subject12
12,unrewarded,common,0.27,subject13
13,unrewarded,common,0.16,subject14
14,unrewarded,common,0.1,subject15
15,unrewarded,common,0.37,subject16
16,unrewarded,common,0.24,subject17
17,unrewarded,common,0.52,subject18
18,unrewarded,common,0.0,subject19
19,unrewarded,common,0.59,subject20
20,unrewarded,common,0.16,subject21
21,unrewarded,common,0.09,subject22
22,unrewarded,common,0.08,subject23
23,unrewarded,common,0.0,subject24
24,unrewarded,common,0.06,subject25
25,unrewarded,common,0.68,subject26
26,unrewarded,common,0.1,subject27
27,unrewarded,common,0.09,subject28
28,unrewarded,common,0.51,subject29
29,unrewarded,common,0.17,subject30
30,unrewarded,common,0.03,subject31
31,unrewarded,common,0.06,subject32
32,unrewarded,common,0.0,subject33
33,unrewarded,common,0.0,subject34
34,unrewarded,common,0.0,subject35
35,unrewarded,common,0.03,subject36
36,unrewarded,common,0.53,subject37
37,unrewarded,common,0.23,subject38
0,unrewarded,rare,1.0,subject1
1,unrewarded,rare,1.0,subject2
2,unrewarded,rare,0.8,subject3
3,unrewarded,rare,0.0,subject4
4,unrewarded,rare,1.0,subject5
5,unrewarded,rare,0.91,subject6
6,unrewarded,rare,1.0,subject7
7,unrewarded,rare,0.77,subject8
8,unrewarded,rare,0.8,subject9
9,unrewarded,rare,0.9,subject10
10,unrewarded,rare,0.92,subject11
11,unrewarded,rare,0.82,subject12
12,unrewarded,rare,0.44,subject13
13,unrewarded,rare,1.0,subject14
14,unrewarded,rare,0.89,subject15
15,unrewarded,rare,0.46,subject16
16,unrewarded,rare,1.0,subject17
17,unrewarded,rare,1.0,subject18
18,unrewarded,rare,0.91,subject19
19,unrewarded,rare,0.8,subject20
20,unrewarded,rare,0.91,subject21
21,unrewarded,rare,0.0,subject22
22,unrewarded,rare,0.17,subject23
23,unrewarded,rare,1.0,subject24
24,unrewarded,rare,0.77,subject25
25,unrewarded,rare,0.74,subject26
26,unrewarded,rare,0.0,subject27
27,unrewarded,rare,0.64,subject28
28,unrewarded,rare,0.5,subject29
29,unrewarded,rare,0.21,subject30
30,unrewarded,rare,0.71,subject31
31,unrewarded,rare,1.0,subject32
32,unrewarded,rare,0.95,subject33
33,unrewarded,rare,0.95,subject34
34,unrewarded,rare,0.94,subject35
35,unrewarded,rare,0.89,subject36
36,unrewarded,rare,0.88,subject37
37,unrewarded,rare,0.82,subject38
