,reward,transition,stay_prob,subject
117,punished,common,0.47,subject1
118,punished,common,0.05,subject2
119,punished,common,0.17,subject3
120,punished,common,0.5,subject4
121,punished,common,0.0,subject5
122,punished,common,0.64,subject6
123,punished,common,0.62,subject7
124,punished,common,0.59,subject8
125,punished,common,0.38,subject9
126,punished,common,0.32,subject10
127,punished,common,0.47,subject11
128,punished,common,0.0,subject12
129,punished,common,0.0,subject13
130,punished,common,0.13,subject14
131,punished,common,0.75,subject15
132,punished,common,0.76,subject16
133,punished,common,0.07,subject17
134,punished,common,0.0,subject18
135,punished,common,0.05,subject19
136,punished,common,0.0,subject20
137,punished,common,0.45,subject21
138,punished,common,0.23,subject22
139,punished,common,0.15,subject23
140,punished,common,0.16,subject24
141,punished,common,0.18,subject25
142,punished,common,0.21,subject26
143,punished,common,0.11,subject27
144,punished,common,0.02,subject28
145,punished,common,0.05,subject29
146,punished,common,0.07,subject30
147,punished,common,0.06,subject31
148,punished,common,0.1,subject32
149,punished,common,0.03,subject33
150,punished,common,0.03,subject34
151,punished,common,0.16,subject35
152,punished,common,0.09,subject36
153,punished,common,0.0,subject37
154,punished,common,0.14,subject38
155,punished,common,0.21,subject39
156,punished,common,0.0,subject40
157,punished,common,0.24,subject41
158,punished,common,0.0,subject42
159,punished,common,0.0,subject43
160,punished,common,0.0,subject44
161,punished,common,0.07,subject45
117,punished,rare,0.89,subject1
118,punished,rare,0.0,subject2
119,punished,rare,0.88,subject3
120,punished,rare,0.96,subject4
121,punished,rare,0.09,subject5
122,punished,rare,0.52,subject6
123,punished,rare,0.54,subject7
124,punished,rare,0.86,subject8
125,punished,rare,0.42,subject9
126,punished,rare,1.0,subject10
127,punished,rare,0.85,subject11
128,punished,rare,1.0,subject12
129,punished,rare,0.93,subject13
130,punished,rare,0.95,subject14
131,punished,rare,0.79,subject15
132,punished,rare,0.86,subject16
133,punished,rare,0.93,subject17
134,punished,rare,1.0,subject18
135,punished,rare,0.88,subject19
136,punished,rare,0.94,subject20
137,punished,rare,0.14,subject21
138,punished,rare,1.0,subject22
139,punished,rare,0.16,subject23
140,punished,rare,0.92,subject24
141,punished,rare,0.87,subject25
142,punished,rare,1.0,subject26
143,punished,rare,0.4,subject27
144,punished,rare,0.7,subject28
145,punished,rare,0.85,subject29
146,punished,rare,1.0,subject30
147,punished,rare,1.0,subject31
148,punished,rare,0.85,subject32
149,punished,rare,0.83,subject33
150,punished,rare,0.0,subject34
151,punished,rare,0.56,subject35
152,punished,rare,1.0,subject36
153,punished,rare,1.0,subject37
154,punished,rare,0.88,subject38
155,punished,rare,0.41,subject39
156,punished,rare,0.94,subject40
157,punished,rare,0.57,subject41
158,punished,rare,0.77,subject42
159,punished,rare,1.0,subject43
160,punished,rare,1.0,subject44
161,punished,rare,0.86,subject45
117,unpunished,common,0.98,subject1
118,unpunished,common,0.94,subject2
119,unpunished,common,0.98,subject3
120,unpunished,common,0.98,subject4
