,reward,transition,stay_prob,subject
117,reward,common,0.93,subject1
118,reward,common,1.0,subject2
119,reward,common,0.95,subject3
120,reward,common,1.0,subject4
121,reward,common,0.97,subject5
122,reward,common,0.84,subject6
123,reward,common,0.89,subject7
124,reward,common,0.91,subject8
125,reward,common,0.47,subject9
126,reward,common,0.98,subject10
127,reward,common,0.92,subject11
128,reward,common,1.0,subject12
129,reward,common,1.0,subject13
130,reward,common,0.94,subject14
131,reward,common,0.96,subject15
132,reward,common,1.0,subject16
133,reward,common,0.97,subject17
134,reward,common,0.98,subject18
135,reward,common,1.0,subject19
136,reward,common,0.95,subject20
137,reward,common,0.57,subject21
138,reward,common,1.0,subject22
139,reward,common,0.97,subject23
140,reward,common,1.0,subject24
141,reward,common,0.98,subject25
142,reward,common,1.0,subject26
143,reward,common,1.0,subject27
144,reward,common,0.94,subject28
145,reward,common,1.0,subject29
146,reward,common,1.0,subject30
147,reward,common,0.98,subject31
148,reward,common,1.0,subject32
149,reward,common,0.98,subject33
150,reward,common,0.94,subject34
151,reward,common,0.98,subject35
152,reward,common,0.95,subject36
153,reward,common,0.97,subject37
154,reward,common,0.89,subject38
155,reward,common,0.98,subject39
156,reward,common,0.92,subject40
157,reward,common,0.94,subject41
158,reward,common,1.0,subject42
159,reward,common,0.98,subject43
160,reward,common,0.97,subject44
161,reward,common,0.95,subject45
117,reward,rare,0.65,subject1
118,reward,rare,1.0,subject2
119,reward,rare,0.18,subject3
120,reward,rare,0.38,subject4
121,reward,rare,1.0,subject5
122,reward,rare,0.71,subject6
123,reward,rare,0.81,subject7
124,reward,rare,0.56,subject8
125,reward,rare,0.44,subject9
126,reward,rare,0.0,subject10
127,reward,rare,0.44,subject11
128,reward,rare,0.0,subject12
129,reward,rare,0.0,subject13
130,reward,rare,1.0,subject14
131,reward,rare,0.67,subject15
132,reward,rare,0.73,subject16
133,reward,rare,0.0,subject17
134,reward,rare,0.0,subject18
135,reward,rare,0.17,subject19
136,reward,rare,0.13,subject20
137,reward,rare,0.9,subject21
138,reward,rare,0.0,subject22
139,reward,rare,1.0,subject23
140,reward,rare,0.25,subject24
141,reward,rare,0.87,subject25
142,reward,rare,0.0,subject26
143,reward,rare,0.47,subject27
144,reward,rare,0.53,subject28
145,reward,rare,0.06,subject29
146,reward,rare,0.0,subject30
147,reward,rare,0.0,subject31
148,reward,rare,0.11,subject32
149,reward,rare,0.07,subject33
150,reward,rare,1.0,subject34
151,reward,rare,0.13,subject35
152,reward,rare,0.06,subject36
153,reward,rare,0.0,subject37
154,reward,rare,0.15,subject38
155,reward,rare,0.13,subject39
156,reward,rare,0.09,subject40
157,reward,rare,0.5,subject41
158,reward,rare,0.0,subject42
159,reward,rare,0.09,subject43
160,reward,rare,0.0,subject44
161,reward,rare,0.25,subject45
117,unrewarded,common,0.6,subject1
118,unrewarded,common,0.07,subject2
119,unrewarded,common,0.13,subject3
120,unrewarded,common,0.58,subject4
