,reward,transition,stay_prob,subject
76,punished,common,0.56,subject1
77,punished,common,0.31,subject2
78,punished,common,0.9,subject3
79,punished,common,0.05,subject4
80,punished,common,0.69,subject5
81,punished,common,0.0,subject6
82,punished,common,0.0,subject7
83,punished,common,0.61,subject8
84,punished,common,0.5,subject9
85,punished,common,0.63,subject10
86,punished,common,0.33,subject11
87,punished,common,0.58,subject12
88,punished,common,0.07,subject13
89,punished,common,0.0,subject14
90,punished,common,0.03,subject15
91,punished,common,0.65,subject16
92,punished,common,0.73,subject17
93,punished,common,0.0,subject18
94,punished,common,0.0,subject19
95,punished,common,0.05,subject20
96,punished,common,0.32,subject21
97,punished,common,0.14,subject22
98,punished,common,0.06,subject23
99,punished,common,0.1,subject24
100,punished,common,0.05,subject25
101,punished,common,0.0,subject26
102,punished,common,0.16,subject27
103,punished,common,0.0,subject28
104,punished,common,0.0,subject29
105,punished,common,0.0,subject30
106,punished,common,0.03,subject31
107,punished,common,0.04,subject32
108,punished,common,0.0,subject33
109,punished,common,0.08,subject34
110,punished,common,0.0,subject35
111,punished,common,0.05,subject36
112,punished,common,0.08,subject37
113,punished,common,0.1,subject38
114,punished,common,0.0,subject39
115,punished,common,0.04,subject40
116,punished,common,0.0,subject41
76,punished,rare,0.79,subject1
77,punished,rare,0.3,subject2
78,punished,rare,0.75,subject3
79,punished,rare,0.93,subject4
80,punished,rare,0.86,subject5
81,punished,rare,0.06,subject6
82,punished,rare,0.93,subject7
83,punished,rare,0.74,subject8
84,punished,rare,0.79,subject9
85,punished,rare,0.36,subject10
86,punished,rare,0.57,subject11
87,punished,rare,0.94,subject12
88,punished,rare,1.0,subject13
89,punished,rare,1.0,subject14
90,punished,rare,1.0,subject15
91,punished,rare,0.89,subject16
92,punished,rare,0.9,subject17
93,punished,rare,0.92,subject18
94,punished,rare,0.94,subject19
95,punished,rare,0.83,subject20
96,punished,rare,0.4,subject21
97,punished,rare,0.31,subject22
98,punished,rare,1.0,subject23
99,punished,rare,0.38,subject24
100,punished,rare,0.67,subject25
101,punished,rare,1.0,subject26
102,punished,rare,0.71,subject27
103,punished,rare,0.8,subject28
104,punished,rare,1.0,subject29
105,punished,rare,0.67,subject30
106,punished,rare,1.0,subject31
107,punished,rare,1.0,subject32
108,punished,rare,0.95,subject33
109,punished,rare,0.29,subject34
110,punished,rare,0.91,subject35
111,punished,rare,0.43,subject36
112,punished,rare,1.0,subject37
113,punished,rare,1.0,subject38
114,punished,rare,1.0,subject39
115,punished,rare,1.0,subject40
116,punished,rare,0.86,subject41
76,unpunished,common,0.93,subject1
77,unpunished,common,0.95,subject2
78,unpunished,common,0.81,subject3
79,unpunished,common,0.98,subject4
80,unpunished,common,1.0,subject5
81,unpunished,common,0.97,subject6
82,unpunished,common,1.0,subject7
83,unpunished,common,0.79,subject8
84,unpunished,common,1.0,subject9
85,unpunished,common,0.51,subject10
86,unpunished,common,0.98,subject11
87,unpunished,common,1.0,subject12
88,unpunished,common,0.98,subject13
89,unpunished,common,0.98,subject14
90,unpunished,common,0.98,subject15
91,unpunished,common,0.88,subject16
92,unpunished,common,0.9,subject17
93,unpunished,common,0.98,subject18
94,unpunished,common,0.98,subject19
95,unpunished,common,0.91,subject20
96,unpunished,common,0.71,subject21
97,unpunished,common,0.94,subject22
98,unpunished,common,0.84,subject23
99,unpunished,common,0.23,subject24
100,unpunished,common,0.97,subject25
101,unpunished,common,1.0,subject26
102,unpunished,common,0.98,subject27
103,unpunished,common,0.92,subject28
104,unpunished,common,0.96,subject29
105,unpunished,common,0.95,subject30
106,unpunished,common,1.0,subject31
107,unpunished,common,0.95,subject32
108,unpunished,common,0.98,subject33
109,unpunished,common,1.0,subject34
110,unpunished,common,1.0,subject35
111,unpunished,common,0.97,subject36
112,unpunished,common,0.98,subject37
113,unpunished,common,0.96,subject38
114,unpunished,common,0.98,subject39
115,unpunished,common,1.0,subject40
116,unpunished,common,0.97,subject41
76,unpunished,rare,0.67,subject1
77,unpunished,rare,1.0,subject2
78,unpunished,rare,0.75,subject3
79,unpunished,rare,0.29,subject4
80,unpunished,rare,0.93,subject5
81,unpunished,rare,1.0,subject6
82,unpunished,rare,0.0,subject7
83,unpunished,rare,0.57,subject8
84,unpunished,rare,0.5,subject9
85,unpunished,rare,0.62,subject10
86,unpunished,rare,0.87,subject11
87,unpunished,rare,0.29,subject12
88,unpunished,rare,0.0,subject13
89,unpunished,rare,0.0,subject14
90,unpunished,rare,0.0,subject15
91,unpunished,rare,0.65,subject16
92,unpunished,rare,0.83,subject17
93,unpunished,rare,0.36,subject18
94,unpunished,rare,0.11,subject19
95,unpunished,rare,0.13,subject20
96,unpunished,rare,0.83,subject21
97,unpunished,rare,0.29,subject22
98,unpunished,rare,0.42,subject23
99,unpunished,rare,0.59,subject24
100,unpunished,rare,0.41,subject25
101,unpunished,rare,0.0,subject26
102,unpunished,rare,0.87,subject27
103,unpunished,rare,0.05,subject28
104,unpunished,rare,0.0,subject29
105,unpunished,rare,0.41,subject30
106,unpunished,rare,0.0,subject31
107,unpunished,rare,0.08,subject32
108,unpunished,rare,0.0,subject33
109,unpunished,rare,0.42,subject34
110,unpunished,rare,0.0,subject35
111,unpunished,rare,0.37,subject36
112,unpunished,rare,0.0,subject37
113,unpunished,rare,0.0,subject38
114,unpunished,rare,0.0,subject39
115,unpunished,rare,0.2,subject40
116,unpunished,rare,0.0,subject41
