,reward,transition,stay_prob,subject
76,reward,common,0.98,subject1
77,reward,common,0.98,subject2
78,reward,common,0.92,subject3
79,reward,common,0.98,subject4
80,reward,common,1.0,subject5
81,reward,common,1.0,subject6
82,reward,common,0.98,subject7
83,reward,common,0.96,subject8
84,reward,common,0.96,subject9
85,reward,common,0.33,subject10
86,reward,common,0.98,subject11
87,reward,common,1.0,subject12
88,reward,common,1.0,subject13
89,reward,common,1.0,subject14
90,reward,common,0.94,subject15
91,reward,common,0.84,subject16
92,reward,common,0.88,subject17
93,reward,common,0.98,subject18
94,reward,common,1.0,subject19
95,reward,common,0.96,subject20
96,reward,common,0.82,subject21
97,reward,common,1.0,subject22
98,reward,common,0.98,subject23
99,reward,common,1.0,subject24
100,reward,common,0.97,subject25
101,reward,common,0.97,subject26
102,reward,common,0.96,subject27
103,reward,common,0.98,subject28
104,reward,common,1.0,subject29
105,reward,common,0.97,subject30
106,reward,common,1.0,subject31
107,reward,common,1.0,subject32
108,reward,common,1.0,subject33
109,reward,common,1.0,subject34
110,reward,common,1.0,subject35
111,reward,common,1.0,subject36
112,reward,common,0.98,subject37
113,reward,common,0.98,subject38
114,reward,common,0.98,subject39
115,reward,common,1.0,subject40
116,reward,common,1.0,subject41
76,reward,rare,0.06,subject1
77,reward,rare,0.89,subject2
78,reward,rare,0.7,subject3
79,reward,rare,0.25,subject4
80,reward,rare,0.22,subject5
81,reward,rare,1.0,subject6
82,reward,rare,0.0,subject7
83,reward,rare,0.88,subject8
84,reward,rare,0.25,subject9
85,reward,rare,0.44,subject10
86,reward,rare,0.93,subject11
87,reward,rare,0.33,subject12
88,reward,rare,0.0,subject13
89,reward,rare,0.0,subject14
90,reward,rare,0.0,subject15
91,reward,rare,0.43,subject16
92,reward,rare,0.78,subject17
93,reward,rare,0.0,subject18
94,reward,rare,0.07,subject19
95,reward,rare,0.0,subject20
96,reward,rare,0.85,subject21
97,reward,rare,0.1,subject22
98,reward,rare,0.0,subject23
99,reward,rare,0.73,subject24
100,reward,rare,0.0,subject25
101,reward,rare,0.0,subject26
102,reward,rare,0.42,subject27
103,reward,rare,0.0,subject28
104,reward,rare,0.0,subject29
105,reward,rare,0.12,subject30
106,reward,rare,0.0,subject31
107,reward,rare,0.0,subject32
108,reward,rare,0.15,subject33
109,reward,rare,0.21,subject34
110,reward,rare,0.0,subject35
111,reward,rare,0.47,subject36
112,reward,rare,0.1,subject37
113,reward,rare,0.0,subject38
114,reward,rare,0.0,subject39
115,reward,rare,0.0,subject40
116,reward,rare,0.0,subject41
76,unrewarded,common,0.65,subject1
77,unrewarded,common,0.37,subject2
78,unrewarded,common,0.64,subject3
79,unrewarded,common,0.16,subject4
80,unrewarded,common,0.23,subject5
81,unrewarded,common,0.0,subject6
82,unrewarded,common,0.04,subject7
83,unrewarded,common,0.5,subject8
84,unrewarded,common,0.37,subject9
85,unrewarded,common,0.53,subject10
86,unrewarded,common,0.46,subject11
87,unrewarded,common,0.46,subject12
88,unrewarded,common,0.0,subject13
89,unrewarded,common,0.0,subject14
90,unrewarded,common,0.07,subject15
91,unrewarded,common,0.54,subject16
92,unrewarded,common,0.58,subject17
93,unrewarded,common,0.13,subject18
94,unrewarded,common,0.0,subject19
95,unrewarded,common,0.1,subject20
96,unrewarded,common,0.35,subject21
97,unrewarded,common,0.07,subject22
98,unrewarded,common,0.04,subject23
99,unrewarded,common,0.0,subject24
100,unrewarded,common,0.05,subject25
101,unrewarded,common,0.0,subject26
102,unrewarded,common,0.07,subject27
103,unrewarded,common,0.05,subject28
104,unrewarded,common,0.04,subject29
105,unrewarded,common,0.03,subject30
106,unrewarded,common,0.03,subject31
107,unrewarded,common,0.0,subject32
108,unrewarded,common,0.0,subject33
109,unrewarded,common,0.11,subject34
110,unrewarded,common,0.95,subject35
111,unrewarded,common,0.03,subject36
112,unrewarded,common,0.3,subject37
113,unrewarded,common,0.0,subject38
114,unrewarded,common,0.04,subject39
115,unrewarded,common,0.04,subject40
116,unrewarded,common,0.03,subject41
76,unrewarded,rare,0.89,subject1
77,unrewarded,rare,0.38,subject2
78,unrewarded,rare,0.78,subject3
79,unrewarded,rare,0.77,subject4
80,unrewarded,rare,0.83,subject5
81,unrewarded,rare,0.08,subject6
82,unrewarded,rare,1.0,subject7
83,unrewarded,rare,0.53,subject8
84,unrewarded,rare,0.93,subject9
85,unrewarded,rare,0.7,subject10
86,unrewarded,rare,0.62,subject11
87,unrewarded,rare,1.0,subject12
88,unrewarded,rare,0.94,subject13
89,unrewarded,rare,0.91,subject14
90,unrewarded,rare,1.0,subject15
91,unrewarded,rare,0.5,subject16
92,unrewarded,rare,0.67,subject17
93,unrewarded,rare,0.9,subject18
94,unrewarded,rare,1.0,subject19
95,unrewarded,rare,0.92,subject20
96,unrewarded,rare,0.17,subject21
97,unrewarded,rare,0.81,subject22
98,unrewarded,rare,1.0,subject23
99,unrewarded,rare,0.89,subject24
100,unrewarded,rare,0.75,subject25
101,unrewarded,rare,1.0,subject26
102,unrewarded,rare,0.8,subject27
103,unrewarded,rare,0.92,subject28
104,unrewarded,rare,1.0,subject29
105,unrewarded,rare,0.5,subject30
106,unrewarded,rare,0.94,subject31
107,unrewarded,rare,0.82,subject32
108,unrewarded,rare,0.88,subject33
109,unrewarded,rare,0.94,subject34
110,unrewarded,rare,0.0,subject35
111,unrewarded,rare,0.81,subject36
112,unrewarded,rare,1.0,subject37
113,unrewarded,rare,1.0,subject38
114,unrewarded,rare,1.0,subject39
115,unrewarded,rare,1.0,subject40
116,unrewarded,rare,0.94,subject41
